iter	MultiClass
0	1.050159078
1	1.007646141
2	0.9749940046
3	0.9426790791
4	0.920015483
5	0.8951750305
6	0.8724939434
7	0.85590248
8	0.840446057
9	0.825050851
10	0.8145752345
11	0.8027921358
12	0.7902952668
13	0.7814290913
14	0.7728839895
15	0.7647296175
16	0.7563930635
17	0.7505939117
18	0.7426052936
19	0.7354065527
20	0.7295747391
21	0.7250970571
22	0.7190681999
23	0.7147138715
24	0.7100081882
25	0.7042685051
26	0.7000972768
27	0.6956107575
28	0.692894929
29	0.6896025822
30	0.6868389531
31	0.6834886242
32	0.680459934
33	0.6773891107
34	0.6748943294
35	0.6723213631
36	0.6697655265
37	0.6679163032
38	0.6645565742
39	0.6620755003
40	0.6594813016
41	0.6565831905
42	0.6540685292
43	0.6517515807
44	0.6496757506
45	0.6480324331
46	0.6463485861
47	0.6443410194
48	0.6421217366
49	0.6401277191
50	0.638052669
51	0.6353436216
52	0.6329673776
53	0.6314051936
54	0.6288147826
55	0.6268659866
56	0.6251044901
57	0.6231610393
58	0.6217745776
59	0.6203850412
60	0.619038494
61	0.6176093631
62	0.6164473108
63	0.6147201677
64	0.6133682731
65	0.6116453849
66	0.6101860538
67	0.6091114332
68	0.6078262902
69	0.606434508
70	0.6050482698
71	0.6036096178
72	0.6013205746
73	0.6002157828
74	0.5985386426
75	0.5972324148
76	0.5958417123
77	0.5944378617
78	0.5930926748
79	0.5918233694
80	0.5909718129
81	0.5897651876
82	0.58870167
83	0.5871357272
84	0.5863262171
85	0.5845662609
86	0.5834206559
87	0.5825633608
88	0.5812316118
89	0.579090466
90	0.5764466209
91	0.5754283585
92	0.5742374661
93	0.5732323496
94	0.5710129222
95	0.5697784556
96	0.5684437745
97	0.5673407622
98	0.565114762
99	0.5643884739
