iter	Passed	Remaining
0	64	6345
1	69	3414
2	75	2437
3	80	1943
4	86	1638
5	91	1437
6	97	1289
7	102	1174
8	109	1108
9	115	1039
10	120	978
11	126	925
12	133	895
13	140	861
14	145	824
15	149	787
16	156	765
17	161	737
18	167	711
19	172	689
20	178	672
21	184	653
22	189	633
23	194	614
24	198	596
25	204	581
26	210	570
27	215	555
28	220	540
29	226	527
30	231	514
31	236	502
32	241	490
33	246	478
34	251	466
35	256	455
36	261	445
37	266	434
38	271	425
39	277	416
40	283	408
41	288	398
42	294	390
43	299	381
44	306	374
45	311	365
46	316	357
47	321	348
48	326	339
49	331	331
50	335	322
51	341	315
52	346	307
53	351	299
54	357	292
55	362	285
56	367	277
57	373	270
58	378	263
59	384	256
60	389	248
61	394	241
62	400	234
63	406	228
64	411	221
65	416	214
66	422	207
67	427	201
68	432	194
69	438	187
70	443	180
71	448	174
72	453	167
73	458	161
74	463	154
75	470	148
76	475	141
77	480	135
78	485	129
79	490	122
80	495	116
81	501	110
82	507	103
83	512	97
84	518	91
85	523	85
86	528	78
87	533	72
88	539	66
89	545	60
90	550	54
91	555	48
92	560	42
93	565	36
94	571	30
95	576	24
96	582	18
97	587	11
98	592	5
99	598	0
